timestamp,filter_index,gain,exposure,camera,serial,calibration,charge,xc,yc,xrms,yrms,sum,roi_x,roi_y,roi_w,roi_h,gunphase,linacphase,X1,Y1,X2,Y2,X3,Y3,X4,Y4,Q1,Q2,Q3,Q4,Q5
2024-08-09 18-22-01,0,24,1000,Cam4,50-0536976126,0.009921875,497.26,608.5881172423722,701.5942943833006,73.32178580377223,69.79028725669906,2446139,262.37942122186496,437.0932475884245,640.0,512.0,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-02,0,24,1000,Cam4,50-0536976126,0.009921875,503.6,598.4150103565541,701.6952141388894,78.75510497347845,70.56644132799977,2978595,262.37942122186496,437.0932475884245,640.0,512.0,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-03,0,24,1000,Cam4,50-0536976126,0.009921875,503.6,589.3636388803332,699.8654714275683,78.39696739296686,73.48379887022571,3069367,262.37942122186496,437.0932475884245,640.0,512.0,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-05,0,24,1000,Cam4,50-0536976126,0.009921875,494.11,601.9553144196141,704.8527724682365,76.79766189495489,75.4149523563171,2994062,262.37942122186496,437.0932475884245,640.0,512.0,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-06,0,24,1000,Cam4,50-0536976126,0.009921875,506.8,584.1641152902415,700.0058494422644,80.84757173314287,67.6354481745651,2997733,262.37942122186496,437.0932475884245,640.0,512.0,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-07,0,24,1000,Cam4,50-0536976126,0.009921875,500.42,584.9582033678563,699.8427926451479,80.03962276851591,77.64429493799203,3059061,262.37942122186496,437.0932475884245,640.0,512.0,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-08,0,24,1000,Cam4,50-0536976126,0.009921875,494.11,602.9499209328932,701.0389335304935,77.5645794738696,75.1623890102863,2891420,262.37942122186496,437.0932475884245,640.0,512.0,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-09,0,24,1000,Cam4,50-0536976126,0.009921875,503.6,593.2634558911373,702.6380368254586,74.69649802948908,71.89116189143814,2715985,262.37942122186496,437.0932475884245,640.0,512.0,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-11,0,24,1000,Cam4,50-0536976126,0.009921875,506.8,583.1549767885236,700.0653143069824,72.40295601628611,76.27951058327177,2428075,262.37942122186496,437.0932475884245,640.0,512.0,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-12,0,24,1000,Cam4,50-0536976126,0.009921875,506.8,583.9099998474436,703.0974121856068,73.7543181567062,70.49115988710825,2908072,262.37942122186496,437.0932475884245,640.0,512.0,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
